0;0;-1;133763;0;-1;1049639;6;58379
0;0;-1;136605;0;-1;1049639;6;57987
0;0;-1;129611;0;-1;1049639;6;55245
0;0;-1;142301;0;-1;1049639;6;51450
0;0;-1;142868;0;-1;1049639;6;49272
0;0;-1;119531;0;-1;1049639;6;53641
0;0;-1;155484;0;-1;1049639;6;53727
0;0;-1;138428;0;-1;1049639;6;56865
0;0;-1;62043;0;-1;1049639;33;6067
0;0;-1;156557;0;-1;1049639;6;51362
0;0;-1;138389;0;-1;1049639;6;53458
0;0;-1;163653;0;-1;1049639;6;57203
0;0;-1;58949;0;-1;1049639;27;8920
0;0;-1;143394;0;-1;1049639;6;62266
0;0;-1;2037;0;-1;1049639;6;3526
0;0;-1;136309;0;-1;1049639;6;57987
0;0;-1;956;0;-1;1049639;9;3677
0;0;-1;152777;0;-1;1049639;6;55245
0;0;-1;142149;0;-1;1049639;6;58463
0;0;-1;128736;0;-1;1049639;6;54834
0;0;-1;131641;0;-1;1049639;6;57991
0;0;-1;131793;0;-1;1049639;6;53069
0;0;-1;155919;0;-1;1049639;6;57811
0;0;-1;135220;0;-1;1049639;6;55982
0;0;-1;130258;0;-1;1049639;6;51994
