-1;10;0;-1;6;347422;45634;1;1
-1;13;0;-1;21;436684;8823;8823;8823
-1;20;0;-1;15;131838;53438;1;4
-1;25;0;-1;26;59470;2982;1;1
-1;22;0;-1;28;336918;1697;1;1
-1;17;0;-1;18;292322;1;1;1
-1;25;0;-1;23;436941;2982;41;39
-1;4;0;-1;20;112109;880;8;2
-1;12;0;-1;1;49232;45634;1;1
-1;3;0;-1;20;113537;5786;172;172
-1;22;0;-1;23;436915;1697;28;1
-1;1;0;-1;12;63964;8823;1;1
-1;26;0;-1;26;60429;5786;1;4
-1;27;0;-1;3;293412;5786;1;1
-1;6;0;-1;10;6;51394;468;468
-1;3;0;-1;21;436687;5786;5786;5786
-1;15;0;-1;15;118715;45634;1;13
-1;4;0;-1;15;134695;880;1;1
-1;4;0;-1;7;195681;880;1;1
-1;18;0;-1;17;298506;1;1;1
-1;7;0;-1;15;162951;125948;1;6
-1;8;0;-1;28;325777;485;1;1
-1;23;0;-1;26;62845;3244;1;1
-1;7;0;-1;20;111001;125948;196;1174
-1;27;0;-1;7;165086;5786;1;1
